point,role,target_belief,snapped_belief,alpha_star,alpha_idx,argmax_gap,tie_flag,p_1,p_2,p_3,posterior_o1,posterior_o2,posterior_o3,J1_star,G,J1_recomputed,J1_residual,interpretation_tag
A,center/symmetry,"[0.333333, 0.333333, 0.333333]","[0.325000, 0.337500, 0.337500]",0.0,0,1.2692311942896772e-05,0,0.32916666666666666,0.3354166666666667,0.33541666666666664,"[0.658228, 0.170886, 0.170886]","[0.161491, 0.670807, 0.167702]","[0.161491, 0.167702, 0.670807]",0.6666666666666666,0.3291666666666666,0.6666666666666666,0.0,center-balanced-branching
B,edge-adjacent quasi-binary,"[0.480000, 0.480000, 0.040000]","[0.475000, 0.487500, 0.037500]",1.5620696805349248,179,7.600612634495185e-06,0,0.46385032715974167,0.2077154413335207,0.32843423150673734,"[0.344325, 0.652182, 0.003494]","[0.098823, 0.789147, 0.112030]","[0.897464, 0.064144, 0.038391]",0.7611907509934751,0.2736907509934751,0.7611907509934751,0.0,edge-quasi-binary-routing
C,near-certainty vertex-adjacent,"[0.900000, 0.050000, 0.050000]","[0.900000, 0.050000, 0.050000]",1.090830782496456,125,2.220446049250313e-16,1,0.46416210708325956,0.050269670551806964,0.48556822236493347,"[0.944766, 0.055200, 0.000034]","[0.005680, 0.484636, 0.509684]","[0.949794, 0.000033, 0.050173]",0.925336126613671,0.025336126613671017,0.925336126613671,0.0,near-certainty-confirmatory
D,generic interior asymmetric,"[0.550000, 0.300000, 0.150000]","[0.550000, 0.300000, 0.150000]",0.6894050545377601,79,4.268244997107651e-06,0,0.44446899141139656,0.24702493726959962,0.30850607131900365,"[0.730755, 0.262121, 0.007124]","[0.047000, 0.717185, 0.235816]","[0.692343, 0.020527, 0.287130]",0.7155523597009781,0.16555235970097804,0.7155523597009781,0.0,interior-routing-multi-destination
E,off-center interior,"[0.440000, 0.280000, 0.280000]","[0.425000, 0.287500, 0.287500]",0.0,0,1.2692311942896772e-05,0,0.3791666666666666,0.3104166666666667,0.31041666666666656,"[0.747253, 0.126374, 0.126374]","[0.228188, 0.617450, 0.154362]","[0.228188, 0.154362, 0.617450]",0.6666666666666666,0.24166666666666664,0.6666666666666666,0.0,off-center-interior-caution-gap-1.27e-05
