config,N,M_alpha,is_baseline,baseline_config,baseline_mapping_mean_distance,baseline_mapping_max_distance,D1_positive_fraction,D0_positive_fraction,stage1_continuation_fraction,stage0_continuation_fraction,V1_max_abs_diff,V1_mean_abs_diff,V1_l2_diff,V0_max_abs_diff,V0_mean_abs_diff,V0_l2_diff,D1_max_abs_diff,D1_mean_abs_diff,D1_l2_diff,D0_max_abs_diff,D0_mean_abs_diff,D0_l2_diff,stage1_decision_disagreement_rate,stage1_alpha_disagreement_rate_all,stage1_alpha_disagreement_rate_measure_pairs,stage0_decision_disagreement_rate,stage0_alpha_disagreement_rate_all,stage0_alpha_disagreement_rate_measure_pairs,D1_positive_fraction_delta,D0_positive_fraction_delta,stage1_continuation_fraction_delta,stage0_continuation_fraction_delta,projection_mean_distance,projection_max_distance,projection_p95_distance,symmetry_max_abs_diff_V1_cyclic,symmetry_max_abs_diff_V0_cyclic,symmetry_max_abs_diff_D1_cyclic,symmetry_max_abs_diff_D0_cyclic,runtime_phase1_solve,runtime_preprocessing,runtime_V1_pass,runtime_V0_pass,runtime_bellman_solve,runtime_total_without_plot,memory_peak_rss_mb,memory_estimated_total_payload_mb
N80_M240,80,240,1,N80_M240,0.0,0.0,0.988256549232159,0.992773261065944,0.988256549232159,0.992773261065944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005901645626979273,0.010202326171430178,0.009065493977232091,0.003433794309210425,6.661338147750939e-16,0.003433794309210425,0.003433794309210536,0.2768347499999999,1.837065375,0.04601824999999948,0.04316333299999986,0.0896765420000003,2.4249787919999997,746.484375,46.300578117370605
N40_M240,40,240,0,N80_M240,0.0,0.0,0.9860627177700348,0.9895470383275261,0.9860627177700348,0.9895470383275261,0.012499992067305121,0.0037299292611057294,0.0045040931478508225,0.009868873588848137,0.004749011624567801,0.0052250613344996645,0.012499992067305121,0.0037299292611057294,0.0045040931478508225,0.021255138252399663,0.002755587482642405,0.0036108444795943367,0.0,0.975609756097561,0.9893992932862191,0.0,0.9686411149825784,0.9788732394366197,0.0,0.0,0.0,0.0,0.011417487401516484,0.0203822187228817,0.018002490927893487,3.3306690738754696e-16,5.551115123125783e-16,3.3306690738754696e-16,5.551115123125783e-16,0.057966625000000604,0.4486813750000005,0.011194750000000475,0.013475499999999307,0.02485445800000008,0.6043123750000001,796.140625,12.004752159118652
N120_M240,120,240,0,N80_M240,0.00614026685370586,0.01020620726159662,0.9898387752337082,0.9918710201869665,0.9898387752337082,0.9918710201869665,0.010386272440929933,0.0028486751799828834,0.003557081455980477,0.009994787940530658,0.002216837713273319,0.0026892454911009557,0.01192688501973499,0.0025801564266184408,0.0032456273009217646,0.007451113578479052,0.0018795253144900652,0.0023520394216233,0.003251591925213386,0.939032651402249,0.947722283205269,0.0012193469719550196,0.9474325972090503,0.9539680371533944,0.001625795962606702,-0.0012193469719550265,0.001625795962606702,-0.0012193469719550265,0.003982252880140559,0.006804138174397714,0.00605746688306025,0.0008574005943404739,6.661338147750939e-16,0.0008574005943404739,0.0008574005943404739,0.5225285,3.9204160420000003,0.10728029200000044,0.09029600000000038,0.19820466600000053,5.085424249999999,1716.890625,102.90322780609131
N80_M120,80,120,0,N80_M240,0.0,0.0,0.986449864498645,0.991869918699187,0.986449864498645,0.991869918699187,0.0048550564014542275,0.0003811429732796647,0.0009554266135388006,0.003084267550755082,0.0005496115087961064,0.0008213969791107859,0.0048550564014542275,0.0003811429732796647,0.0009554266135388006,0.0038941982849889367,0.000696239533971952,0.001066289482696438,0.0018066847335140017,0.9533273110508883,0.9645909645909646,0.0009033423667570009,0.992773261065944,1.0,-0.0018066847335139746,-0.0009033423667570428,-0.0018066847335139746,-0.0009033423667570428,0.005898326140206859,0.010202326171430178,0.009060729578404921,0.004270833333333335,0.00028670763536164934,0.004270833333333335,0.004270833333333446,0.1191939169999987,0.8458945839999998,0.022302875000001166,0.01885837500000065,0.04297220800000012,1.1472638749999984,1780.609375,23.49616527557373
N80_M360,80,360,0,N80_M240,0.0,0.0,0.988256549232159,0.992773261065944,0.988256549232159,0.992773261065944,0.004504559069980374,0.00022788303519101827,0.0006754887765825498,0.0026653352359321536,0.00027452215067765576,0.00047909121111870874,0.004504559069980374,0.00022788303519101827,0.0006754887765825498,0.0043754402169541295,0.0004250871620881623,0.000781625722552121,0.0,0.9569406805179163,0.9683120048750762,0.0,0.992773261065944,1.0,0.0,0.0,0.0,0.0,0.005901549920778939,0.010202326171430178,0.009065771335642184,1.1313917466448942e-05,6.661338147750939e-16,1.1313917466448942e-05,1.1313917466448942e-05,0.37071849999999884,2.3636314999999986,0.05507920799999866,0.07949595799999898,0.13567699999999938,3.143014417,1780.609375,69.10499095916748
